# species: Homo sapiens
# support: EXP, IMP, ISS, ISM, TAS, IEA, HMP, HEP, IDA, IGI, ISO, IGC, NAS, HGI, IPI, IEP, ISA, RCA, IC, HDA
# associations retrieved on: 2021-03-22 22:09:17-04
# gofunc built on: 2018-02-21 10:04:34.764444-05
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/goa_human.gaf.gz
#   revision: 2018-02-02 $
#   downloaded on: 2018-02-14 09:47:26-05
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201512-termdb-tables.tar.gz
#   downloaded on: 2015-12-22 05:43:21-05
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2015-11-17 14:24:21.26681-05
#     synergizer db built from: Ensembl Genes 82 / Metazoa Mart / Plant Mart
#   namespace: hgnc_symbol
#   coverage: 99.8%
# size of "genespace": 2326
# number of attributes: 10840
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
GO:0000002	mitochondrial genome maintenance	LONP1 OPA1 SLC25A4
GO:0000003	reproduction	EIF4H STAT3
GO:0000012	single strand break repair	XRCC1
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	XRCC1
GO:0000015	phosphopyruvate hydratase complex	ENO1 ENO2
GO:0000018	regulation of DNA recombination	EXOSC3 EXOSC6 KPNA1 KPNA2 MSH2 MSH6 PPP4C PPP4R2 RPA2 SUPT6H TERF2IP TFRC
GO:0000022	mitotic spindle elongation	KIF23
GO:0000027	ribosomal large subunit assembly	DHX30 RPL11 RPL5 RRS1
GO:0000028	ribosomal small subunit assembly	RPS14 RPS19
GO:0000030	mannosyltransferase activity	ALG2 DPM1 SDF2
GO:0000033	alpha-1,3-mannosyltransferase activity	ALG2
GO:0000038	very long-chain fatty acid metabolic process	ACAA1 ELOVL1 HSD17B4 TECR
GO:0000041	transition metal ion transport	ARHGAP1 ATOX1 ATP13A1 ATP6V0A1 ATP6V1A ATP6V1B2 ATP6V1D ATP6V1E1 ATP6V1F ATP6V1H B2M CCS CLTC DNM2 FKBP4 FTL PICALM RAB11B SCO1 SFXN1 SLC30A1 TFRC
GO:0000042	protein targeting to Golgi	BICD2 OPTN RAB6A
GO:0000045	autophagosome assembly	ATG3 RAB1A RAB7A STX12
GO:0000049	tRNA binding	AIMP1 DARS2 EARS2 EEF1A1 EEFSEC EIF2A FARSA HSD17B10 IARS2 METTL1 MRPS27 RPL35A SSB TRMT1 TRMT1L XPO5
GO:0000052	citrulline metabolic process	ALDH18A1 CAD DDAH1 DDAH2
