"","genes"
"1","AAMP"
"2","ZMPSTE24"
"3","ABCB6"
"4","ABHD14B"
"5","ABI1"
"6","ACAA2"
"7","ACADM"
"8","ACAT1"
"9","ACAT2"
"10","ACLY"
"11","ACOT13"
"12","ACOT7"
"13","ACP1"
"14","ACP2"
"15","ACSL4"
"16","ACTB"
"17","ACTG1"
"18","ACTN4"
"19","ACTR1A"
"20","ACTR1B"
"21","ACTR2"
"22","ACTR3"
"23","ADA"
"24","ADAM10"
"25","ADNP"
"26","AGA"
"27","AGMAT"
"28","AHCTF1"
"29","AHCY"
"30","AHCYL1"
"31","AHSA1"
"32","AIMP1"
"33","AK2"
"34","AK4"
"35","AKR1A1"
"36","AKR1B1"
"37","ALAD"
"38","ALDH16A1"
"39","ALDH6A1"
"40","ALDH9A1"
"41","ALDOA"
"42","ALDOC"
"43","ANKFY1"
"44","ANP32B"
"45","ANXA11"
"46","ANXA4"
"47","ANXA5"
"48","ANXA6"
"49","ANXA7"
"50","AP1M1"
"51","AP2M1"
"52","APEH"
"53","APOO"
"54","APPL1"
"55","APRT"
"56","ARHGAP1"
"57","ARHGDIA"
"58","ARHGDIB"
"59","ARL3"
"60","ARL6IP5"
"61","ARL8A"
"62","ARL8B"
"63","ARPC1A"
"64","ARPC2"
"65","ARPC3"
"66","ARPC5"
"67","ARPC5L"
"68","ASAH1"
"69","ATAD2"
"70","ATIC"
"71","ATP1A1"
"72","ATP1B3"
"73","ATP6V0A1"
"74","ATP6V1A"
"75","ATP6V1B2"
"76","ATP6V1D"
"77","ATP6V1E1"
"78","ATP6V1F"
"79","ATP6V1H"
"80","ATXN10"
"81","AUP1"
"82","B2M"
"83","B4GALT3"
"84","BANF1"
"85","BASP1"
"86","BAX"
"87","BID"
"88","BLVRA"
"89","BLVRB"
"90","BPNT1"
"91","BRK1"
"92","BSG"
"93","BST2"
"94","C11ORF54"
"95","C12ORF10"
"96","C1QBP"
"97","CACYBP"
"98","CAD"
"99","CADM1"
"100","CALR"
"101","CAND1"
"102","CANX"
"103","CAP1"
"104","CAPN1"
"105","CAPN2"
"106","CAPNS1"
"107","CAPZA1"
"108","CAPZA2"
"109","CAPZB"
"110","CARHSP1"
"111","CAT"
"112","CBR1"
"113","CBR3"
"114","CCL3"
"115","CCT2"
"116","CCT3"
"117","CCT4"
"118","CCT5"
"119","CCT6A"
"120","CCT7"
"121","CCT8"
"122","CD2AP"
"123","CD38"
"124","CD44"
"125","CD47"
"126","CD48"
"127","CD58"
"128","CD59"
"129","CD74"
"130","CD9"
"131","CDC37"
"132","CDC42"
"133","CDK1"
"134","CFL1"
"135","CHCHD3"
"136","CHID1"
"137","CHMP1A"
"138","CHMP2A"
"139","CHMP4B"
"140","CHMP5"
"141","CIB1"
"142","CISD1"
"143","CKAP4"
"144","CLASP1"
"145","CLIC1"
"146","CLIC4"
"147","CLTC"
"148","CMPK1"
"149","CNDP2"
"150","CNN2"
"151","CNOT1"
"152","CNP"
"153","COASY"
"154","COBLL1"
"155","COMT"
"156","COPA"
"157","COPS4"
"158","COPS6"
"159","COPS8"
"160","CORO1A"
"161","COX4I1"
"162","COX5A"
"163","COX5B"
"164","CPNE1"
"165","CPNE3"
"166","CPPED1"
"167","CRKL"
"168","CS"
"169","CSE1L"
"170","CSK"
"171","CSNK2B"
"172","CSRP1"
"173","CSTB"
"174","CTSA"
"175","CTSB"
"176","CTSC"
"177","CTSD"
"178","CTSS"
"179","CUL3"
"180","CUTA"
"181","CYB5A"
"182","CYB5R1"
"183","CYB5R3"
"184","DAD1"
"185","DBI"
"186","DBNL"
"187","DCTD"
"188","DCTN2"
"189","DCXR"
"190","DDAH1"
"191","DDAH2"
"192","DDB1"
"193","DDX23"
"194","DDX5"
"195","DECR1"
"196","DERA"
"197","DHX36"
"198","DLST"
"199","DNAJA1"
"200","DNAJA2"
"201","DNAJB1"
"202","DNAJC11"
"203","DNAJC13"
"204","DNAJC3"
"205","DNAJC7"
"206","DNAJC8"
"207","DNAJC9"
"208","DNASE2"
"209","DNM2"
"210","DNPEP"
"211","DOCK2"
"212","DPP3"
"213","DPYSL2"
"214","DSG2"
"215","DSTN"
"216","DUSP23"
"217","DUT"
"218","DYNC1H1"
"219","DYNLL1"
"220","ECH1"
"221","ECHS1"
"222","EDF1"
"223","EEA1"
"224","EEF1A1"
"225","EEF1E1"
"226","EEF2"
"227","EHD1"
"228","EHD4"
"229","EIF2A"
"230","EIF2S1"
"231","EIF2S3"
"232","EIF3B"
"233","EIF3E"
"234","EIF3I"
"235","EIF3K"
"236","EIF4A1"
"237","EIF4E"
"238","EIF5A"
"239","EIF6"
"240","ENO1"
"241","ENO2"
"242","ENOPH1"
"243","ERAP1"
"244","ERP29"
"245","ERP44"
"246","ESD"
"247","EZR"
"248","FABP5"
"249","FAM162A"
"250","FAM3C"
"251","FASN"
"252","FBL"
"253","FERMT3"
"254","FH"
"255","FKBP4"
"256","FKBP5"
"257","FLNA"
"258","FLOT1"
"259","FLOT2"
"260","FMNL1"
"261","FTL"
"262","FXR2"
"263","G6PD"
"264","GALE"
"265","GALK1"
"266","GALM"
"267","GALNT2"
"268","GAMT"
"269","GANAB"
"270","GAPDH"
"271","GART"
"272","GAS6"
"273","GATM"
"274","GBE1"
"275","GDI2"
"276","GFPT1"
"277","GGCT"
"278","GGH"
"279","GLA"
"280","GLG1"
"281","GLIPR2"
"282","GLO1"
"283","GLOD4"
"284","GLRX"
"285","GLRX3"
"286","GM2A"
"287","GMPPA"
"288","GMPPB"
"289","GNA13"
"290","GNAI2"
"291","GNAI3"
"292","GNAS"
"293","GNB1"
"294","GNB2"
"295","GNG5"
"296","GNG7"
"297","GNL1"
"298","GNL3"
"299","GNPDA1"
"300","GNS"
"301","GOT1"
"302","GOT2"
"303","GPI"
"304","GPX4"
"305","GRB2"
"306","GRHPR"
"307","GRIPAP1"
"308","GRN"
"309","GSR"
"310","GSS"
"311","GSTK1"
"312","GSTO1"
"313","GSTP1"
"314","GUSB"
"315","GYG1"
"316","HADHB"
"317","HAGH"
"318","HBS1L"
"319","HDDC2"
"320","HDGF"
"321","HDLBP"
"322","HEATR5B"
"323","HEBP1"
"324","HEXB"
"325","HGS"
"326","HIBCH"
"327","HINT1"
"328","HMGB2"
"329","HNRNPA2B1"
"330","HNRNPC"
"331","HNRNPD"
"332","HNRNPK"
"333","HNRNPL"
"334","HNRNPM"
"335","HPRT1"
"336","HSD17B12"
"337","HSP90AA1"
"338","HSP90AB1"
"339","HSP90B1"
"340","HSPA4"
"341","HSPA5"
"342","HSPA8"
"343","HSPA9"
"344","HSPD1"
"345","HSPE1"
"346","HSPH1"
"347","HUWE1"
"348","HYOU1"
"349","IAH1"
"350","ICAM3"
"351","IDE"
"352","IDH1"
"353","IDH2"
"354","IGF2R"
"355","IL16"
"356","IMPA1"
"357","IMPDH2"
"358","IQGAP1"
"359","IQGAP2"
"360","ISOC1"
"361","IST1"
"362","ITGB1"
"363","ITGB5"
"364","ITGB7"
"365","KCTD12"
"366","KIF23"
"367","KPNA4"
"368","KPNB1"
"369","KRR1"
"370","LAMP1"
"371","LAMTOR1"
"372","LAMTOR2"
"373","LAMTOR3"
"374","LAP3"
"375","LASP1"
"376","LCP1"
"377","LDHA"
"378","LDHB"
"379","LGALS1"
"380","LGALS3"
"381","LGMN"
"382","LIME1"
"383","LMAN1"
"384","LMAN2"
"385","LSM6"
"386","LSP1"
"387","LSR"
"388","LTA4H"
"389","LYPLA1"
"390","LYPLA2"
"391","MAN2A1"
"392","MAP2K1"
"393","MAP4"
"394","MAPK1"
"395","MAPK14"
"396","MAPK3"
"397","MARCKS"
"398","MAT2B"
"399","MDH1"
"400","MDH2"
"401","METTL7A"
"402","MFAP1"
"403","MGAT1"
"404","MIF"
"405","MINPP1"
"406","MOGS"
"407","MPDU1"
"408","MPI"
"409","MPP6"
"410","MPST"
"411","MRPL18"
"412","MSN"
"413","MTAP"
"414","MTCH2"
"415","MTHFD1"
"416","MTHFD2"
"417","MTPN"
"418","MVP"
"419","MYH10"
"420","MYH9"
"421","MYL6"
"422","MYO1C"
"423","MYO1D"
"424","MYO5A"
"425","MYO6"
"426","NAA50"
"427","NAGK"
"428","NANS"
"429","NAPA"
"430","NAPG"
"431","NCKAP1L"
"432","NCL"
"433","NCOA5"
"434","NCSTN"
"435","NDRG1"
"436","NDRG3"
"437","NDUFA13"
"438","NDUFB1"
"439","NDUFB10"
"440","NDUFB4"
"441","NDUFB9"
"442","NENF"
"443","NEU1"
"444","NIT2"
"445","NME1"
"446","NPC2"
"447","NPEPPS"
"448","NR2C2AP"
"449","NSF"
"450","NUBP1"
"451","NUCB1"
"452","NUDCD2"
"453","NUDT5"
"454","NUMA1"
"455","NUTF2"
"456","OLA1"
"457","OSTF1"
"458","OTUB1"
"459","OXSR1"
"460","P4HB"
"461","PA2G4"
"462","PAFAH1B1"
"463","PAFAH1B2"
"464","PAFAH1B3"
"465","PAICS"
"466","PARK7"
"467","PCBP1"
"468","PCMT1"
"469","PCNA"
"470","PDCD10"
"471","PDCD5"
"472","PDCD6"
"473","PDCD6IP"
"474","PDHB"
"475","PDIA3"
"476","PDIA4"
"477","PDIA6"
"478","PDXK"
"479","PEBP1"
"480","PEPD"
"481","PEX11B"
"482","PFAS"
"483","PFDN2"
"484","PFKL"
"485","PFKM"
"486","PFN1"
"487","PGAM1"
"488","PGD"
"489","PGK1"
"490","PGLS"
"491","PGM1"
"492","PGM2"
"493","PGRMC1"
"494","PHB"
"495","PHB2"
"496","PHGDH"
"497","PHPT1"
"498","PIN4"
"499","PITPNB"
"500","PLP2"
"501","PM20D2"
"502","PMM2"
"503","PMPCA"
"504","PMVK"
"505","PNP"
"506","PNPO"
"507","PPA1"
"508","PPA2"
"509","PPCS"
"510","PPIA"
"511","PPIB"
"512","PPIL1"
"513","PPP1CB"
"514","PPP1R7"
"515","PPP2R1A"
"516","PPT1"
"517","PRDX1"
"518","PRDX2"
"519","PRDX3"
"520","PRDX4"
"521","PRDX5"
"522","PRDX6"
"523","PRKAR2A"
"524","PRKCA"
"525","PRPS2"
"526","PRRC2A"
"527","PSAP"
"528","PSAT1"
"529","PSMA1"
"530","PSMA3"
"531","PSMA4"
"532","PSMA5"
"533","PSMA6"
"534","PSMA7"
"535","PSMB1"
"536","PSMB2"
"537","PSMB3"
"538","PSMB4"
"539","PSMB5"
"540","PSMB6"
"541","PSMB7"
"542","PSMB8"
"543","PSMB9"
"544","PSMC5"
