"","transcript","count"
"1","AAAS-201",292
"2","AAK1-203",144
"3","AAMP-201",612
"4","AARS2-201",120
"5","AARSD1-202",0
"6","ABCB6-201",183
"7","ABCB8-202",358
"8","ABCE1-201",954
"9","ABCF1-201",640
"10","ABCF2-201",0
"11","ABCF2-206",0
"12","ABCF3-203",364
"13","ABHD10-201",121
"14","ABHD11-201",87
"15","ABHD12-201",448
"16","ABHD14B-206",312
"17","ABI1-205",535
"18","ABT1-201",238
"19","ACAA1-202",169
"20","ACAA2-201",312
"21","ACAD9-201",316
"22","ACADM-202",436
"23","ACADVL-203",1046
"24","ACAT1-201",852
"25","ACAT2-201",234
"26","ACBD3-201",565
"27","ACIN1-201",557
"28","ACLY-207",1534
"29","ACO2-201",1296
"30","ACOT13-201",135
"31","ACOT7-202",325
"32","ACOT9-201",128
"33","ACP1-201",299
"34","ACP2-201",264
"35","ACP6-205",154
"36","ACSL3-201",457
"37","ACSL4-201",438
"38","ACSS1-201",623
"39","ACTB-217",5684
"40","ACTG1-209",5146
"41","ACTL6A-202",773
"42","ACTN4-201",1173
"43","ACTR1A-201",338
"44","ACTR1B-201",321
"45","ACTR2-201",1731
"46","ACTR3-201",1785
"47","ADA-201",664
"48","ADAM10-201",2155
"49","ADAR-202",2169
"50","ADI1-201",506
"51","ADK-205",344
"52","ADNP-202",511
"53","ADO-201",58
"54","ADPGK-201",750
"55","ADRM1-204",1170
"56","ADSL-208",50
"57","AFG3L2-201",452
"58","AFTPH-201",402
"59","AGA-201",197
"60","AGFG1-201",406
"61","AGK-218",364
"62","AGMAT-201",174
"63","AGPAT5-201",553
"64","AGPS-201",286
"65","AGTRAP-201",209
"66","AHCTF1-202",606
"67","AHCY-201",1065
"68","AHCYL1-202",250
"69","AHNAK-201",0
"70","AHSA1-201",498
"71","AIMP1-206",411
"72","AIMP2-201",230
"73","AIP-201",341
"74","AK2-202",590
"75","AK3-202",299
"76","AK4-202",310
"77","AKAP8-201",282
"78","AKAP8L-201",192
"79","AKAP9-201",497
"80","AKR1A1-202",517
