"","transcript","count"
"1","A1BG-201",0
"2","A1CF-202",0
"3","A2M-201",0
"4","A2ML1-201",0
"5","A3GALT2-201",0
"6","A4GALT-203",0
"7","A4GNT-201",0
"8","AAAS-201",325
"9","AACS-201",136
"10","AADAC-201",0
"11","AADACL2-201",0
"12","AADACL3-201",0
"13","AADACL4-201",0
"14","AADAT-201",0
"15","AAGAB-201",256
"16","AAK1-203",0
"17","AAMDC-206",52
"18","AAMP-201",668
"19","AANAT-202",0
"20","AAR2-202",301
"21","AARD-201",0
"22","AARS1-201",1390
"23","AARS2-201",0
"24","AARSD1-202",16
"25","AASDH-201",0
"26","AASDHPPT-201",326
"27","AASS-203",0
"28","AATF-208",516
"29","AATK-201",0
"30","ABAT-202",0
"31","ABCA1-202",0
"32","ABCA10-201",0
"33","ABCA12-201",0
"34","ABCA13-204",0
"35","ABCA2-202",0
"36","ABCA3-201",0
"37","ABCA4-201",0
"38","ABCA5-201",0
"39","ABCA6-201",0
"40","ABCA7-201",0
"41","ABCA8-208",0
"42","ABCA9-201",0
"43","ABCB1-211",0
"44","ABCB10-201",263
"45","ABCB11-206",0
"46","ABCB4-213",0
"47","ABCB5-202",0
"48","ABCB6-201",212
"49","ABCB7-201",186
"50","ABCB8-202",295
"51","ABCB9-216",0
"52","ABCC1-202",454
"53","ABCC10-204",198
"54","ABCC11-203",0
"55","ABCC12-201",0
"56","ABCC2-203",0
"57","ABCC3-201",0
"58","ABCC4-214",0
"59","ABCC5-202",0
"60","ABCC6-201",0
"61","ABCC8-202",0
"62","ABCC9-201",0
"63","ABCD1-201",0
"64","ABCD2-201",0
"65","ABCD3-202",109
"66","ABCD4-201",0
"67","ABCE1-201",980
"68","ABCF1-201",620
"69","ABCF2-201",0
"70","ABCF2-206",0
"71","ABCF3-203",382
"72","ABCG1-205",157
"73","ABCG2-205",0
"74","ABCG4-205",0
"75","ABCG5-201",0
"76","ABCG8-201",0
"77","ABHD1-201",0
"78","ABHD10-201",101
"79","ABHD11-201",92
"80","ABHD12-201",489
"81","ABHD12B-201",0
"82","ABHD13-201",0
"83","ABHD14A-201",110
"84","ABHD14B-206",352
"85","ABHD15-201",0
"86","ABHD16A-201",0
"87","ABHD16B-201",0
"88","ABHD17A-202",235
"89","ABHD17B-201",112
"90","ABHD17C-201",0
"91","ABHD18-207",0
"92","ABHD2-201",707
"93","ABHD3-201",700
"94","ABHD4-203",185
"95","ABHD5-213",0
"96","ABHD6-201",0
"97","ABHD8-201",0
