#Gene with GO attribute	Gene weight
A1BG	1
A1CF	10
A2M	1
A2ML1	1
A4GALT	11
A4GNT	7
AAAS	15
AACS	26
AADAC	2
AADACL2	1
AADACL3	1
AADACL4	1
AADAT	15
AAGAB	1
AAK1	25
AAMDC	1
AAMP	2
AANAT	18
AAR2	1
AARD	1
AARS	29
AARS2	28
AARSD1	28
AASDH	21
AASDHPPT	9
AASS	6
AATF	1
AATK	25
ABAT	14
ABCA1	21
ABCA10	18
ABCA12	20
ABCA13	18
ABCA2	20
ABCA3	19
ABCA4	20
ABCA5	18
ABCA6	18
ABCA7	18
ABCA8	19
ABCA9	18
ABCB1	21
ABCB10	18
ABCB11	27
ABCB4	21
ABCB5	18
ABCB6	33
ABCB7	21
ABCB8	18
ABCB9	19
ABCC1	26
ABCC10	19
ABCC11	19
ABCC12	19
ABCC2	19
ABCC3	22
ABCC4	20
ABCC5	29
ABCC6	19
ABCC8	21
ABCC9	19
ABCD1	22
ABCD2	22
ABCD3	26
ABCD4	26
ABCE1	25
ABCF1	28
ABCF2	19
ABCF3	19
ABCG1	22
ABCG2	28
ABCG4	18
ABCG5	1
ABCG8	1
ABHD1	1
ABHD10	5
ABHD11	1
ABHD12	8
ABHD12B	1
ABHD13	1
ABHD14A	1
ABHD14B	27
ABHD15	1
ABHD16A	1
ABHD16B	1
ABHD17A	1
ABHD17B	1
ABHD17C	1
ABHD2	1
ABHD3	14
ABHD4	9
ABHD5	12
ABHD6	4
ABHD8	1
ABI1	3
ABI2	5
ABI3	1
ABI3BP	2
ABL1	33
ABL2	26
ABLIM1	1
ABLIM2	14
ABLIM3	14
ABR	1
ABRA	13
ABT1	18
ABTB1	4
ABTB2	1
ACAA1	4
ACAA2	10
ACACA	70
ACACB	70
ACAD10	2
ACAD11	2
ACAD8	17
ACAD9	1
ACADL	5
ACADM	11
ACADS	2
ACADSB	5
ACADVL	2
ACAP1	1
ACAP2	1
ACAP3	1
ACAT1	11
ACAT2	2
ACBD3	7
ACBD4	1
ACBD5	2
ACBD6	1
ACBD7	1
ACCS	4
ACCSL	5
ACD	8
ACE	6
ACE2	8
ACER1	11
ACER2	11
ACER3	11
ACHE	19
ACIN1	13
ACKR1	1
ACKR2	1
ACKR3	1
ACKR4	1
ACLY	51
ACMSD	10
ACO1	6
ACO2	3
ACOT1	8
ACOT11	8
ACOT12	27
ACOT13	8
ACOT2	7
ACOT4	7
ACOT6	8
ACOT7	53
ACOT8	9
ACOT9	7
ACOX1	9
ACOX2	11
ACOX3	2
ACOXL	1
ACP1	2
ACP2	2
ACP5	11
ACP6	5
ACPP	25
ACPT	2
ACR	4
ACRBP	1
ACRC	1
ACRV1	1
ACSBG1	27
ACSBG2	27
ACSF2	26
ACSF3	26
ACSL1	26
ACSL3	26
ACSL4	26
ACSL5	26
ACSL6	26
ACSM1	27
ACSM2A	22
ACSM2B	21
ACSM3	25
ACSM4	23
ACSM5	21
ACSM6	21
ACSS1	26
ACSS2	27
ACSS3	19
ACTA1	19
ACTA2	19
ACTB	19
ACTBL2	18
ACTC1	20
ACTG1	19
ACTG2	19
ACTL6A	14
ACTL6B	13
ACTL7A	1
ACTL7B	1
ACTL8	1
ACTL9	1
ACTN1	3
ACTN2	6
ACTN3	1
ACTN4	5
ACTR10	1
ACTR1A	19
ACTR1B	19
ACTR2	19
ACTR3	19
ACTR3B	18
ACTR3C	18
ACTR5	14
ACTR6	1
ACTR8	33
ACTRT1	1
ACTRT2	1
ACTRT3	1
ACVR1	26
ACVR1B	26
ACVR1C	26
ACVR2A	26
ACVR2B	26
ACVRL1	26
ACY1	6
ACY3	4
ACYP1	2
ACYP2	2
ADA	74
ADAD1	8
ADAD2	8
ADAL	32
ADAM10	5
ADAM11	1
ADAM12	1
ADAM15	2
ADAM17	2
ADAM18	1
ADAM19	1
ADAM2	1
ADAM20	1
ADAM21	1
ADAM22	1
ADAM23	1
ADAM28	1
ADAM29	1
ADAM30	1
ADAM32	1
ADAM33	1
ADAM7	1
ADAM8	1
ADAM9	2
ADAMDEC1	1
ADAMTS1	3
ADAMTS10	1
ADAMTS12	2
ADAMTS13	6
ADAMTS14	2
ADAMTS15	1
ADAMTS16	1
ADAMTS17	1
ADAMTS18	1
ADAMTS19	1
ADAMTS2	2
ADAMTS20	1
